一 [jat1]
丁 [ding1]
七 [cat1]
三 [saam1]
上 [soeng5]
下 [haa6]
不 [bat1]
且 [ce2]
世 [sai3]
並 [bing6]
中 [zung1]
丸 [jyun2]
丹 [daan1]
主 [zyu2]
久 [gau2]
之 [zi1]
乎 [fu4]
乖 [gwaai1]
乘 [sing4]
乜 [mat1]
九 [gau2]
也 [jaa5]
乾 [gon1]
亂 [lyun6]
了 [liu5]
予 [jyu5]
事 [si6]
二 [ji6]
于 [jyu1]
云 [wan4]
互 [wu6]
五 [ng5]
些 [se1]
亞 [ngaa3]
亡 [mong4]
交 [gaau1]
亦 [jik6]
享 [hoeng2]
京 [ging1]
亭 [ting4]
人 [jan4]
什 [sam6]
仁 [jan4]
仇 [sau4]
今 [gam1]
介 [gaai3]
仍 [jing4]
仔 [zai2]
他 [taa1]
付 [fu6]
仙 [sin1]
代 [doi6]
令 [ling6]
以 [ji5]
仰 [joeng5]
仲 [zung6]
件 [gin6]
任 [jam6]
份 [fan6]
企 [kei5]
伊 [ji1]
伐 [fat6]
伙 [fo2]
伯 [baak3]
估 [gu2]
伴 [bun6]
伸 [san1]
似 [ci5]
但 [daan6]
位 [wai2]
低 [dai1]
住 [zyu6]
佔 [zim3]
何 [ho4]
佛 [fat6]
作 [zok3]
你 [nei5]
佢 [keoi5]
佩 [pui3]
佬 [lou2]
佳 [gaai1]
使 [sai2]
來 [loi4]
例 [lai6]
供 [gung1]
依 [ji1]
侵 [cam1]
便 [bin6]
係 [hai6]
促 [cuk1]
俄 [ngo4]
俊 [zeon3]
保 [bou2]
信 [seon3]
修 [sau1]
俾 [bei2]
個 [go3]
倍 [pui5]
們 [mun4]
倒 [dou2]
候 [hau6]
倡 [coeng1]
倫 [leon4]
值 [zik6]
假 [gaa3]
偏 [pin1]
做 [zou6]
停 [ting4]
健 [gin6]
偶 [ngau5]
偷 [tau1]
傅 [fu6]
傍 [bong6]
傑 [git6]
傘 [saan3]
備 [bei6]
傲 [ngou6]
傳 [cyun4]
傷 [soeng1]
傻 [so4]
傾 [king1]
僅 [gan2]
像 [zoeng6]
僭 [cim3]
價 [gaa3]
僻 [pik1]
儀 [ji4]
億 [jik1]
儘 [zeon6]
償 [soeng4]
優 [jau1]
元 [jyun4]
兄 [hing1]
充 [cung1]
兆 [siu6]
先 [sin1]
光 [gwong1]
克 [hak1]
免 [min5]
兒 [ji4]
兔 [tou3]
入 [jap6]
內 [noi6]
全 [cyun4]
兩 [loeng5]
八 [baat3]
公 [gung1]
六 [luk6]
共 [gung6]
兵 [bing1]
其 [kei4]
具 [geoi6]
典 [din2]
冇 [mou5]
再 [zoi3]
冒 [mou6]
冤 [jyun1]
冰 [bing1]
况 [fong3]
冷 [laang5]
准 [zeon2]
凌 [ling4]
凍 [dung3]
凝 [jing4]
出 [ceot1]
刀 [dou1]
分 [fan1]
切 [cit3]
刊 [hon1]
列 [lit6]
初 [co1]
判 [pun3]
別 [bit6]
利 [lei6]
刪 [saan1]
到 [dou3]
制 [zai3]
刺 [ci3]
刻 [hak1]
則 [zak1]
削 [soek3]
前 [cin4]
剛 [gong1]
剝 [mok1]
剩 [zing6]
剪 [zin2]
副 [fu3]
割 [got3]
創 [cong3]
劃 [waak6]
劇 [kek6]
劉 [lau4]
力 [lik6]
功 [gung1]
加 [gaa1]
助 [zo6]
効 [haau6]
勇 [jung5]
勒 [lak6]
動 [dung6]
務 [mou6]
勝 [sing3]
勞 [lou4]
勢 [sai3]
勵 [lai6]
勸 [hyun3]
勻 [wan4]
包 [baau1]
化 [faa3]
北 [bak1]
匙 [si4]
匡 [hong1]
匿 [nik1]
區 [keoi1]
十 [sap6]
千 [cin1]
午 [ng5]
卉 [wai2]
半 [bun3]
卑 [bei1]
協 [hip3]
南 [naam4]
博 [bok3]
卡 [kaa1]
印 [jan3]
危 [ngai4]
即 [zik1]
卸 [se3]
卻 [koek3]
厚 [hau5]
原 [jyun4]
厠 [ci3]
厭 [jim3]
厲 [lai6]
去 [heoi3]
參 [sam1]
又 [jau6]
叉 [caa1]
及 [kap6]
友 [jau5]
反 [faan2]
叔 [suk1]
取 [ceoi2]
受 [sau6]
叠 [dip6]
口 [hau2]
古 [gu2]
句 [geoi3]
另 [ling6]
只 [zi2]
叫 [giu3]
召 [ziu6]
可 [ho2]
台 [toi4]
史 [si2]
右 [jau6]
司 [si1]
叻 [lek1]
吃 [hek3]
各 [gok3]
合 [hap6]
吉 [gat1]
同 [tung4]
名 [ming4]
向 [hoeng3]
吓 [haak3]
君 [gwan1]
吞 [tan1]
否 [fau2]
吧 [baa1]
含 [ham4]
吳 [ng4]
吵 [caau2]
吶 [naap6]
吸 [kap1]
呀 [aa1]
呈 [cing4]
告 [gou3]
呎 [cek3]
呢 [ne1]
周 [zau1]
味 [mei6]
呵 [ho1]
呼 [fu1]
命 [ming6]
咁 [gam3]
和 [wo4]
咎 [gau3]
咖 [gaa1]
咗 [zo2]
咧 [le1]
咩 [me1]
咪 [mai]
咽 [jit3]
哀 [oi1]
品 [ban2]
哄 [hung6]
哆 [ce2]
哋 [dei2]
响 [hoeng2]
員 [jyun4]
哥 [go1]
哦 [ngo4]
哩 [lei1]
哪 [naa5]
哭 [huk1]
哽 [ang2]
唇 [seon4]
唔 [m4]
售 [sau6]
唯 [wai4]
唱 [coeng3]
唸 [nim6]
商 [soeng1]
啊 [aa1]
問 [man6]
